Used,variable_2014,description_2014,topic_2014,variable_2008,description_2008,topic_2008,Used
,EJB5_CHEARN1,Did the respondent have a first change in earnings between EJB5_BMONTH and EJB5_EMONTH?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CHEARN2,Did the respondent have a second change in earnings between EJB5_BMONTH and EJB5_EMONTH?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CHERMN1,Month of first change in earnings.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CHERMN2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CHERWK1,Week of first change in earnings.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CHERWK2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CHHOMN1,Month of first change in hours,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CHHOMN2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CHHOUR1,Whether there is a first change in the number of hours worked per week.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CHHOUR2,Whether there is a second change in the number of hours worked per week.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CHHOWK1,Week of first change in hours,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CHHOWK2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CLWRK,Class of worker,Labor Force,ECLWRK2,Class of worker,Job,
,EJB5_CNTRC,Was ... covered either by a union contract or something like a union contract?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CONCHK,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_CXMTH,A variable identifying if a commission was earned in the reference month for this job.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_DYSWKD,Edited variable indicating the number of days worked per week,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_DYSWKDH,Edited variable indicating the number of days worked only at home per week,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_EMONTH,The ending month of a job spell with employer 5,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_EMPLOC,Does ... operate in more than one location?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_EMPSIZE,About how many people are employed by ... at the location where ... works?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_ENDWK,Last week in the reference period where the job was held.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_HPRTB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_INCPB,Variable showing if business 5 was incorporated,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_JBORSE,"This variable describes the type of work arrangement, whether work for an employer, self employed or other.",Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_JOBID,Unique identifier for a job which is consistent across waves.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_NETGRO1,"Was this ... take home pay, or was it gross pay before any taxes and other deductions were taken out?",Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_NETGRO2,"Was this ... take home pay, or was it gross pay before any taxes and other deductions were taken out?",Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_NETGRO3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_OEXPAY,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_OINCB,Spell variable showing if there was any additional income received by the respondent through business 5.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_OXMTH,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PARTB1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PARTB2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PARTB3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PAYHR1,Type of first pay rate,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PAYHR2,Type of second pay rate,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PAYHR3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PFTLOSS,"Variable indicating if the respondent's business made a profit, a net loss or broke even for the year.",Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PROPB,Variable showing if business 5 was a partnership.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PTRESN1,What is/was the main reason ... worked less than 35 hours per week?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PTRESN2,What is/was the main reason ... worked less than 35 hours per week?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PTRESN3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVOEXP,Did ... have any other job-related expenses?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVPARK,Did ... pay any parking or tolls?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVTRPRM,What is ... primary commute mode?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVWKTR1,Edited variable indicating whether the respondent drove his own vehicle to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVWKTR2,Edited variable indicating whether the respondent was a rider in someone else's vehicle/van pool to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVWKTR3,Edited variable indicating whether the respondent took a bus to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVWKTR4,Edited variable indicating whether the respondent took rail to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVWKTR5,Edited variable indicating whether the respondent took other public transportation to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVWKTR6,Edited variable indicating whether the respondent walked to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVWKTR7,Edited variable indicating whether the respondent bicycled to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVWKTR8,Edited variable indicating whether the respondent drove a company vehicle to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVWKTR9,Edited variable indicating whether the respondent worked from home,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_PVWKTRA,Edited variable indicating whether the respondent got to work another way,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_REIMBMI,Was ... reimbursed for miles he/she drove to work?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_RENDB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_RSEND,What is the main reason ... stopped working for his/her employer?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_SCRNR,Flag indicating the presence of job 5 during the reference year,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_STARTWK,This variable gives the value for the first week in the reference period that the person held this job/business.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_STRTJAN,Identifies whether a job/business/work arrangement began in January of the reference year or started before the reference year.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_STRTMON,The month a job began when the job began prior to the reference period.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_TEXPAY,A variable identifying if tips were awarded in every month for this job.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_TXMTH,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_TYPPAY1,Whether wage/salary income was received,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_TYPPAY2,Whether commission income was received,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_TYPPAY3,Whether tip income was received,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_TYPPAY4,Whether overtime income was received,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_TYPPAY5,Whether bonus income was received,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_UNION,"At ..., was ... a member of either a labor union or an employee association like a union?",Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSHMFRI,Worked from home on Fridays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSHMMON,Worked from home on Mondays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSHMSAT,Worked from home on Saturdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSHMSUN,Worked from home on Sundays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSHMTHU,Worked from home on Thursdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSHMTUE,Worked from home on Tuesdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSHMWED,Worked from home on Wednesdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSHMWRK,Were there any days when ... worked only from home?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSJOB,What is the best description of ... work schedule?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSMNR,What is the main reason ... worked this type of schedule?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSWHFRI,Worked on Fridays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSWHMON,Worked on Mondays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSWHSAT,Worked on Saturdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSWHSUN,Worked on Sundays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSWHTHU,Worked on Thursdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSWHTUE,Worked on Tuesdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB5_WSWHWED,Worked on Wednesdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOP1,Did you have any time away from work without pay?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOP2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOP3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPEM1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPEM2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPEM3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPEW1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPEW2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPEW3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPRE1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPRE2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPRE3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPSM1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPSM2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPSM3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPSW1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPSW2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWOPSW3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWPCFL1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWPCFL2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_AWPCFL3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_BMONTH,The beginning month of a job spell with employer 6,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_BSLRYB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_BXMTH,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CEXPAY,A variable identifying if commissions were awarded in every month for this job spell.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CHEARN1,Did the respondent have a first change in earnings between EJB6_BMONTH and EJB6_EMONTH?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CHEARN2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CHERMN1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CHERMN2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CHERWK1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CHERWK2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CHHOMN1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CHHOMN2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CHHOUR1,Whether there is a first change in the number of hours worked per week.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CHHOUR2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CHHOWK1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CHHOWK2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CLWRK,Class of worker,Labor Force,ECLWRK2,Class of worker,Job,
,EJB6_CNTRC,Was ... covered either by a union contract or something like a union contract?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CONCHK,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_CXMTH,A variable identifying if a commission was earned in the reference month for this job.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_DYSWKD,Edited variable indicating the number of days worked per week,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_DYSWKDH,Edited variable indicating the number of days worked only at home per week,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_EMONTH,The ending month of a job spell with employer 6,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_EMPLOC,Does ... operate in more than one location?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_EMPSIZE,About how many people are employed by ... at the location where ... works?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_ENDWK,Last week in the reference period where the job was held.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_HPRTB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_INCPB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_JBORSE,"This variable describes the type of work arrangement, whether work for an employer, self employed or other.",Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_JOBID,Unique identifier for a job which is consistent across waves.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_NETGRO1,"Was this ... take home pay, or was it gross pay before any taxes and other deductions were taken out?",Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_NETGRO2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_NETGRO3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_OEXPAY,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_OINCB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_OXMTH,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PARTB1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PARTB2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PARTB3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PAYHR1,Type of first pay rate,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PAYHR2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PAYHR3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PFTLOSS,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PROPB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PTRESN1,What is/was the main reason ... worked less than 35 hours per week?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PTRESN2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PTRESN3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVOEXP,Did ... have any other job-related expenses?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVPARK,Did ... pay any parking or tolls?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVTRPRM,What is ... primary commute mode?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVWKTR1,Edited variable indicating whether the respondent drove his own vehicle to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVWKTR2,Edited variable indicating whether the respondent was a rider in someone else's vehicle/van pool to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVWKTR3,Edited variable indicating whether the respondent took a bus to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVWKTR4,Edited variable indicating whether the respondent took rail to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVWKTR5,Edited variable indicating whether the respondent took other public transportation to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVWKTR6,Edited variable indicating whether the respondent walked to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVWKTR7,Edited variable indicating whether the respondent bicycled to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVWKTR8,Edited variable indicating whether the respondent drove a company vehicle to work,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVWKTR9,Edited variable indicating whether the respondent worked from home,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_PVWKTRA,Edited variable indicating whether the respondent got to work another way,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_REIMBMI,Was ... reimbursed for miles he/she drove to work?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_RENDB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_RSEND,What is the main reason ... stopped working for his/her employer?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_SCRNR,Flag indicating the presence of job 6 during the reference year,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_STARTWK,This variable gives the value for the first week in the reference period that the person held this job/business.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_STRTJAN,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_STRTMON,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_TEXPAY,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_TXMTH,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_TYPPAY1,Whether wage/salary income was received,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_TYPPAY2,Whether commission income was received,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_TYPPAY3,Whether tip income was received,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_TYPPAY4,Whether overtime income was received,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_TYPPAY5,Whether bonus income was received,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_UNION,"At ..., was ... a member of either a labor union or an employee association like a union?",Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSHMFRI,Worked from home on Fridays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSHMMON,Worked from home on Mondays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSHMSAT,Worked from home on Saturdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSHMSUN,Worked from home on Sundays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSHMTHU,Worked from home on Thursdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSHMTUE,Worked from home on Tuesdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSHMWED,Worked from home on Wednesdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSHMWRK,Were there any days when ... worked only from home?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSJOB,What is the best description of ... work schedule?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSMNR,What is the main reason ... worked this type of schedule?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSWHFRI,Worked on Fridays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSWHMON,Worked on Mondays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSWHSAT,Worked on Saturdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSWHSUN,Worked on Sundays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSWHTHU,Worked on Thursdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSWHTUE,Worked on Tuesdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB6_WSWHWED,Worked on Wednesdays,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOP1,Did you have any time away from work without pay?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOP2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOP3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPEM1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPEM2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPEM3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPEW1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPEW2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPEW3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPRE1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPRE2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPRE3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPSM1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPSM2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPSM3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPSW1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPSW2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWOPSW3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWPCFL1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWPCFL2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_AWPCFL3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_BMONTH,The beginning month of a job spell with employer 7,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_BSLRYB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_BXMTH,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CEXPAY,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CHEARN1,Did the respondent have a first change in earnings between EJB7_BMONTH and EJB7_EMONTH?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CHEARN2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CHERMN1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CHERMN2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CHERWK1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CHERWK2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CHHOMN1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CHHOMN2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CHHOUR1,Whether there is a first change in the number of hours worked per week.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CHHOUR2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CHHOWK1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CHHOWK2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CLWRK,Class of worker,Labor Force,ECLWRK2,Class of worker,Job,
,EJB7_CNTRC,Was ... covered either by a union contract or something like a union contract?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CONCHK,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_CXMTH,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_DYSWKD,Edited variable indicating the number of days worked per week,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_DYSWKDH,Edited variable indicating the number of days worked only at home per week,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_EMONTH,The ending month of a job spell with employer 7,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_EMPLOC,Does ... operate in more than one location?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_EMPSIZE,About how many people are employed by ... at the location where ... works?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_ENDWK,Last week in the reference period where the job was held.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_HPRTB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_INCPB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_JBORSE,"This variable describes the type of work arrangement, whether work for an employer, self employed or other.",Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_JOBID,Unique identifier for a job which is consistent across waves.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_NETGRO1,"Was this ... take home pay, or was it gross pay before any taxes and other deductions were taken out?",Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_NETGRO2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_NETGRO3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_OEXPAY,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_OINCB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_OXMTH,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_PARTB1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_PARTB2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_PARTB3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_PAYHR1,Type of first pay rate,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_PAYHR2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_PAYHR3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_PFTLOSS,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB7_PROPB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
